name_key,total_inspections,total_violations,avg_violation_count,fails,BusinessName,address,latitude,longitude,last_inspection_date,facility_rating_status,fail_rate
MASHAALLAH HALAL FOOD PAKISTANI,2,0,0.0,0,mashaallah halal food pakistani,845 market street 4,37.7844932,-122.4064523,2023-03-06,0,0.0
MASITDA GALBIJJIM,2,1,0.5,0,masitda galbijjim,2123 polk street,37.796211,-122.422131,2024-10-24,0,0.0
MASON DELI AND MARKET,1,4,4.0,0,mason deli and market,39 mason street,37.783926,-122.40936,2024-06-10,0,0.0
MASON DINER,12,15,1.25,0,mason diner,320 mason street,37.786458,-122.409677,2025-04-11,0,0.0
MASON KRISPY KRUNCHY CHICKEN,5,11,2.2,0,mason krispy krunchy chicken,2660 mason street,37.808055,-122.413275,2025-04-01,0,0.0
MASON LIQUOR,3,1,0.3333333333333333,0,mason liquor,530 mason street,37.788462,-122.4100035,2025-03-11,0,0.0
MASON SOCIAL CLUB,2,7,3.5,0,mason social club,334 mason street,37.786761,-122.4094185,2025-03-11,0,0.0
MASON STREET DELI AND MARKET,1,0,0.0,0,mason street deli and market,39 mason,37.784094,-122.409274,2022-04-29,0,0.0
MASTRO S,2,0,0.0,0,mastro s,399 geary street a,37.786968,-122.4096795,2022-06-15,0,0.0
MATADOR,7,8,1.1428571428571428,0,matador,679 sutter street,37.788768,-122.4113985,2025-04-28,0,0.0
MATCHA CAFE MAIKO,10,1,0.1,0,matcha cafe maiko,756 grant avenue,37.794123,-122.4061335,2025-03-11,0,0.0
MATCHING HALF,5,3,0.6,0,matching half,1799 mcallister street,37.7772667,-122.4414532,2025-05-01,0,0.0
MATEO S BAY AREA HOT DOGS,2,6,3.0,0,mateo s bay area hot dogs,110 main street,37.79109,-122.3943705,2024-08-08,0,0.0
MATHILDE FRENCH BISTRO,6,5,0.8333333333333334,0,mathilde french bistro,315 5th street,37.780173,-122.4029655,2024-08-07,0,0.0
MATKO,8,5,0.625,0,matko,1 market plaza spc pl24,37.79438927,-122.394755,2025-06-25,0,0.0
MATSUYAMA SHABU HOUSE INC,1,0,0.0,0,matsuyama shabu house inc,1726 buchanan street,37.7860207,-122.4297715,2023-07-13,0,0.0
MATTERHORN RESTAURANT BAKERY,2,0,0.0,0,matterhorn restaurant bakery,2323 van ness avenue,37.7971925,-122.4241182,2024-09-18,0,0.0
MATTINA,3,4,1.3333333333333333,0,mattina,2232 bush street,37.787211,-122.434137,2024-08-08,0,0.0
MAU,3,3,1.0,0,mau,180 spear street,37.7907734,-122.3917608,2025-03-11,0,0.0
MAUNA LOA,1,0,0.0,0,mauna loa,3007 fillmore street,37.797282,-122.435838,2024-10-31,0,0.0
MAURICES CORNER,2,5,2.5,0,maurices corner,3046 24th street,37.752696,-122.412771,2024-10-30,0,0.0
MAX MUSCLE,1,1,1.0,0,max muscle,3600 16th street,37.764396,-122.433417,2025-02-07,0,0.0
MAX S OPERA,10,16,1.6,0,max s opera,601 van ness avenue,37.7814909,-122.4208963,2025-03-13,0,0.0
MAXFIELD S,1,1,1.0,0,maxfield s,2 new montgomery street,37.788417,-122.401962,2025-05-14,0,0.0
MAXFIELD S HOUSE OF CAFFEINE,4,1,0.25,0,maxfield s house of caffeine,398 dolores street,37.7631333,-122.426525,2025-04-08,0,0.0
MAY FLOWER MKT,2,0,0.0,0,may flower mkt,2498 fillmore street,37.792455,-122.434474,2022-08-04,0,0.0
MAY LEE,3,0,0.0,0,may lee,1256 7th avenue,37.76487120000001,-122.4641034,2022-05-13,0,0.0
MAYAFLOR,2,6,3.0,0,mayaflor,1494 california street,37.791027,-122.4189135,2025-05-01,0,0.0
MAYES,5,7,1.4,0,mayes,1233 polk street,37.788313,-122.420254,2025-05-07,0,0.0
MAYFLOWER HOTEL,2,3,1.5,0,mayflower hotel,975 bush street,37.7893364,-122.4132527,2025-01-29,0,0.0
MAYFLOWER MARKET,3,2,0.6666666666666666,0,mayflower market,2498 fillmore street,37.792305,-122.434398,2024-07-18,0,0.0
MAYKADEH,5,11,2.2,0,maykadeh,470 green street,37.800027,-122.407155,2025-05-13,0,0.0
MAYO MUSTARD,1,0,0.0,0,mayo mustard,75 hawthorne,37.785144,-122.398383,2021-03-16,0,0.0
MAZARINE COFFEE,2,0,0.0,0,mazarine coffee,720 market street,37.78754199999999,-122.4040705,2023-02-22,0,0.0
MCALLISTER GROCERY DELI,2,0,0.0,0,mcallister grocery deli,136 mcallister street,37.780916,-122.414312,2023-06-09,0,0.0
MCALLISTER LIQUOR GROCERY,2,4,2.0,0,mcallister liquor grocery,136 mcallister street,37.781109,-122.414508,2025-05-22,0,0.0
MCAULEY ADOLESCENT SPECIAL EDUCATION,5,1,0.2,0,mcauley adolescent special education,2200 hayes street,37.773297,-122.4531135,2025-04-15,0,0.0
MCBAKERS MARKET,5,9,1.8,0,mcbakers market,1800 mcallister street,37.777455,-122.4419535,2025-02-04,0,0.0
MCCALL ASSOCIATES,2,0,0.0,0,mccall associates,2720 17th street,37.764359,-122.410594,2022-07-20,0,0.0
MCCARTHY S IRIS BAR,1,2,2.0,0,mccarthy s iris bar,46 west portal avenue,37.740474,-122.4666495,2025-01-23,0,0.0
MCCORMICK KULETO S SEAFOOD RESTAUNT,2,0,0.0,1,mccormick kuleto s seafood restaunt,900 north point street,37.805427,-122.422854,2022-10-06,0,0.5
MCCORMICK KULETOS SEAFOOD REST,1,2,2.0,0,mccormick kuletos seafood rest,900 n point street,37.805535,-122.4231975,2025-01-21,0,0.0
MCDONALD S,14,12,0.8571428571428571,1,mcdonald s,441 sutter street,37.789065,-122.40765,2025-06-17,0,0.07142857142857142
MCDONALDS,40,0,0.0,2,mcdonalds,255 winston drive,37.7263623,-122.4762351,2023-06-01,0,0.05
MCDONALDS 7413,2,2,1.0,0,mcdonalds 7413,345 bay shore boulevard,37.742094,-122.4052065,2025-04-23,0,0.0
